Data_Leitura,Umidade,pH,N_ok,P_ok,K_ok,Chuva_Probabilidade,Bomba_Ligada,label
2026-03-01,61.0,4.93,1,1,1,37,0,café
2026-03-02,53.3,5.33,1,1,1,49,0,café
2026-03-03,62.8,5.36,1,1,1,81,0,café
2026-03-04,73.3,5.18,1,1,1,29,0,milho
2026-03-05,52.2,5.44,1,0,1,78,0,café
2026-03-06,52.2,5.66,1,0,1,90,0,café
2026-03-07,74.0,6.25,1,0,0,50,0,milho
2026-03-08,64.2,5.57,1,0,1,62,0,café
2026-03-09,49.4,5.6,1,0,0,51,0,soja
2026-03-10,61.5,5.47,1,1,1,37,0,café
2026-03-11,49.4,4.73,1,0,1,87,0,café
2026-03-12,49.4,5.49,1,1,1,78,0,café
2026-03-13,57.9,5.52,1,1,0,29,0,soja
2026-03-14,32.0,6.49,1,0,1,50,0,soja
2026-03-15,34.3,5.42,1,1,1,80,0,café
2026-03-16,48.3,5.62,1,1,1,4,1,café
2026-03-17,42.8,5.49,1,0,1,28,0,soja
2026-03-18,58.8,5.03,1,1,1,3,1,café
2026-03-19,44.1,5.96,1,1,1,9,1,milho
2026-03-20,38.1,5.8,0,1,1,55,0,soja
2026-03-21,72.6,5.82,1,1,1,16,0,milho
2026-03-22,52.3,5.14,0,1,1,73,0,café
2026-03-23,55.8,6.06,1,1,0,16,0,soja
2026-03-24,37.9,4.94,1,0,1,83,0,café
2026-03-25,48.5,5.73,1,1,1,87,0,café
2026-03-26,56.3,6.38,1,1,1,68,0,soja
2026-03-27,41.2,5.1,0,1,1,33,0,soja
2026-03-28,59.5,5.27,0,1,1,5,0,café
2026-03-29,47.8,5.54,1,1,1,52,0,café
2026-03-30,51.5,5.3,1,1,1,65,0,café
2026-03-31,47.8,4.88,0,1,1,76,0,café
2026-04-01,77.2,5.53,1,1,1,42,0,milho
2026-04-02,54.8,5.08,1,1,1,74,0,café
2026-04-03,42.3,5.69,1,1,0,22,0,soja
2026-04-04,64.9,5.13,1,1,1,54,0,café
2026-04-05,40.3,6.12,0,1,1,79,0,soja
2026-04-06,57.5,5.19,0,0,1,74,0,café
2026-04-07,31.5,5.37,1,1,1,15,1,café
2026-04-08,39.1,5.83,1,1,1,7,1,milho
2026-04-09,57.4,5.01,1,1,1,3,1,café
2026-04-10,63.9,5.59,1,1,1,3,0,milho
2026-04-11,57.1,6.02,1,1,0,55,0,soja
2026-04-12,53.6,4.86,1,1,1,24,0,café
2026-04-13,51.4,5.57,1,0,1,66,0,café
2026-04-14,37.3,5.6,1,1,1,66,0,café
2026-04-15,46.4,5.81,1,0,1,26,0,soja
2026-04-16,49.5,5.01,1,1,1,31,1,café
2026-04-17,67.7,4.97,0,1,1,49,0,milho
2026-04-18,59.1,5.71,0,1,1,60,0,café
2026-04-19,33.8,5.62,1,1,1,50,0,café
2026-04-20,58.9,5.6,1,1,0,18,0,soja
2026-04-21,50.4,5.64,1,1,0,20,0,soja
2026-04-22,46.9,5.23,1,1,1,4,1,café
2026-04-23,62.3,5.59,1,1,1,81,0,café
2026-04-24,67.4,5.62,1,1,1,41,0,milho
2026-04-25,66.2,5.21,1,1,0,60,0,café
2026-04-26,44.9,6.25,1,1,1,21,0,soja
2026-04-27,51.3,5.69,1,1,1,20,1,café
2026-04-28,59.0,5.02,1,0,1,69,0,café
2026-04-29,66.7,5.76,1,1,1,0,0,milho
2026-04-30,49.2,5.11,1,0,1,4,0,soja
2026-05-01,52.8,5.81,1,1,1,11,1,milho
2026-05-02,41.7,5.96,1,1,1,89,0,café
2026-05-03,40.6,5.17,1,1,1,45,0,café
2026-05-04,64.8,5.89,1,1,0,33,0,milho
2026-05-05,71.3,5.67,1,0,1,48,0,milho
2026-05-06,54.1,5.83,1,0,1,77,0,soja
2026-05-07,67.0,6.26,1,1,1,89,0,café
2026-05-08,59.3,5.4,0,1,1,44,0,café
2026-05-09,47.3,5.2,0,0,1,26,0,soja
2026-05-10,59.3,5.14,0,0,1,72,0,café
2026-05-11,73.5,5.17,0,1,1,25,0,milho
2026-05-12,54.6,5.47,1,0,1,46,0,soja
2026-05-13,73.8,5.64,1,1,1,85,0,café
2026-05-14,30.0,5.61,1,1,1,55,0,café
2026-05-15,64.9,5.83,0,0,0,62,0,café
2026-05-16,56.0,5.51,1,0,1,47,0,soja
2026-05-17,51.4,6.08,1,1,1,60,0,soja
2026-05-18,56.1,5.39,1,1,1,80,0,café
2026-05-19,31.1,6.5,1,1,1,25,0,soja
2026-05-20,52.4,5.75,1,1,1,35,1,café
2026-05-21,59.3,5.16,1,1,1,0,1,café
2026-05-22,72.7,5.07,1,1,0,7,0,milho
2026-05-23,48.8,5.69,0,1,1,51,0,soja
2026-05-24,45.3,5.41,1,1,1,78,0,café
2026-05-25,49.0,5.79,1,0,1,46,0,soja
2026-05-26,66.0,5.69,1,1,1,55,0,café
2026-05-27,58.9,5.47,1,1,1,85,0,café
2026-05-28,48.6,5.16,1,1,1,13,1,café
2026-05-29,61.2,4.89,1,1,1,89,0,café
2026-05-30,56.2,5.32,0,0,1,27,0,soja
2026-05-31,66.6,5.84,1,1,1,86,0,café
2026-06-01,46.6,5.59,0,0,0,77,0,café
2026-06-02,51.1,5.0,1,1,0,87,0,café
2026-06-03,50.3,5.57,1,0,1,1,0,soja
2026-06-04,37.4,5.65,1,0,1,25,0,soja
2026-06-05,58.6,5.15,1,0,1,13,0,soja
2026-06-06,58.1,5.56,1,1,1,58,0,café
2026-06-07,55.1,5.52,1,1,0,55,0,soja
2026-06-08,52.2,5.04,1,1,0,6,0,soja
