Data_Leitura,Cultura,Umidade,pH,N_ok,P_ok,K_ok,Chuva_Probabilidade,Bomba_Ligada,Umidade_Futura,pH_Futuro,Volume_Irrigacao_L,Necessidade_Fertilizacao_kg_ha,Rendimento_Estimado_t_ha
2026-03-01,cafe,61.0,4.93,1,1,1,37,0,59.83,5.02,157.5,6.84,4.09
2026-03-02,cafe,53.3,5.33,1,1,1,49,0,52.88,5.42,621.0,2.04,4.17
2026-03-03,cafe,62.8,5.36,1,1,1,81,0,64.23,5.45,47.5,1.68,4.22
2026-03-04,milho,73.3,5.18,1,1,1,29,0,71.95,5.27,177.5,3.84,4.39
2026-03-05,cafe,52.2,5.44,1,0,1,78,0,53.63,5.5,664.0,28.72,4.01
2026-03-06,cafe,52.2,5.66,1,0,1,90,0,54.36,5.71,634.0,28.0,4.12
2026-03-07,milho,74.0,6.25,1,0,0,50,0,74.03,6.27,125.0,56.0,4.11
2026-03-08,cafe,64.2,5.57,1,0,1,62,0,64.95,5.62,95.0,28.0,3.92
2026-03-09,soja,49.4,5.6,1,0,0,51,0,49.59,5.61,1025.5,56.0,3.06
2026-03-10,cafe,61.5,5.47,1,1,1,37,0,60.97,5.55,157.5,0.36,4.24
2026-03-11,cafe,49.4,4.73,1,0,1,87,0,51.65,4.77,935.5,37.24,3.64
2026-03-12,cafe,49.4,5.49,1,1,1,78,0,51.18,5.56,958.0,0.12,4.24
2026-03-13,soja,57.9,5.52,1,1,0,29,0,56.99,5.55,188.0,28.0,3.56
2026-03-14,soja,32.0,6.49,1,0,1,50,0,32.25,6.51,1800.0,28.0,2.7
2026-03-15,cafe,34.3,5.42,1,1,1,80,0,36.19,5.47,1800.0,0.96,3.53
2026-03-16,cafe,48.3,5.62,1,1,1,4,1,53.49,5.67,1138.5,0.0,4.02
2026-03-17,soja,42.8,5.49,1,0,1,28,0,41.78,5.5,1776.0,28.12,2.85
2026-03-18,cafe,58.8,5.03,1,1,1,3,1,63.86,5.07,122.5,5.64,3.72
2026-03-19,milho,44.1,5.96,1,1,1,9,1,49.44,5.99,1567.0,0.0,4.79
2026-03-20,soja,38.1,5.8,0,1,1,55,0,38.41,5.79,1800.0,28.0,2.97
2026-03-21,milho,72.6,5.82,1,1,1,16,0,70.7,5.84,210.0,0.0,4.59
2026-03-22,cafe,52.3,5.14,0,1,1,73,0,53.46,5.12,666.0,32.32,3.86
2026-03-23,soja,55.8,6.06,1,1,0,16,0,53.75,6.04,441.0,28.0,3.52
2026-03-24,cafe,37.9,4.94,1,0,1,83,0,39.45,4.91,1800.0,34.72,3.15
2026-03-25,cafe,48.5,5.73,1,1,1,87,0,50.18,5.73,1030.0,0.0,4.26
2026-03-26,soja,56.3,6.38,1,1,1,68,0,56.85,6.38,258.5,0.0,4.27
2026-03-27,soja,41.2,5.1,0,1,1,33,0,39.74,5.06,1800.0,32.8,2.62
2026-03-28,cafe,59.5,5.27,0,1,1,5,0,56.41,5.22,237.5,30.76,3.67
2026-03-29,cafe,47.8,5.54,1,1,1,52,0,47.21,5.53,1191.0,0.0,3.97
2026-03-30,cafe,51.5,5.3,1,1,1,65,0,51.55,5.28,770.0,2.4,4.15
2026-03-31,cafe,47.8,4.88,0,1,1,76,0,48.38,4.83,1131.0,35.44,3.52
2026-04-01,milho,77.2,5.53,1,1,1,42,0,75.84,5.51,145.0,0.0,4.39
2026-04-02,cafe,54.8,5.08,1,1,1,74,0,55.14,5.06,401.0,5.04,4.23
2026-04-03,soja,42.3,5.69,1,1,0,22,0,39.73,5.63,1800.0,28.0,2.77
2026-04-04,cafe,64.9,5.13,1,1,1,54,0,64.04,5.11,115.0,4.44,4.04
2026-04-05,soja,40.3,6.12,0,1,1,79,0,40.78,6.06,1800.0,28.0,3.24
2026-04-06,cafe,57.5,5.19,0,0,1,74,0,57.69,5.1,117.5,59.72,3.72
2026-04-07,cafe,31.5,5.37,1,1,1,15,1,35.93,5.35,1800.0,1.56,3.17
2026-04-08,milho,39.1,5.83,1,1,1,7,1,43.09,5.81,1800.0,0.0,4.42
2026-04-09,cafe,57.4,5.01,1,1,1,3,1,61.17,4.99,185.5,5.88,3.82
2026-04-10,milho,63.9,5.59,1,1,1,3,0,60.19,5.57,242.5,0.0,4.88
2026-04-11,soja,57.1,6.02,1,1,0,55,0,56.28,5.97,207.0,28.0,3.85
2026-04-12,cafe,53.6,4.86,1,1,1,24,0,51.12,4.85,652.0,7.68,3.72
2026-04-13,cafe,51.4,5.57,1,0,1,66,0,51.28,5.53,778.0,28.0,3.91
2026-04-14,cafe,37.3,5.6,1,1,1,66,0,37.24,5.6,1800.0,0.0,3.63
2026-04-15,soja,46.4,5.81,1,0,1,26,0,44.2,5.78,1403.0,28.0,3.06
2026-04-16,cafe,49.5,5.01,1,1,1,31,1,55.15,5.01,945.0,5.88,4.01
2026-04-17,milho,67.7,4.97,0,1,1,49,0,66.92,4.94,127.5,34.36,4.29
2026-04-18,cafe,59.1,5.71,0,1,1,60,0,59.0,5.69,100.0,28.0,4.2
2026-04-19,cafe,33.8,5.62,1,1,1,50,0,33.24,5.64,1800.0,0.0,3.37
2026-04-20,soja,58.9,5.6,1,1,0,18,0,56.67,5.59,205.0,28.0,3.5
2026-04-21,soja,50.4,5.64,1,1,0,20,0,48.36,5.64,998.0,28.0,3.15
2026-04-22,cafe,46.9,5.23,1,1,1,4,1,51.57,5.27,1285.5,3.24,3.78
2026-04-23,cafe,62.3,5.59,1,1,1,81,0,63.79,5.63,47.5,0.0,4.31
2026-04-24,milho,67.4,5.62,1,1,1,41,0,66.77,5.67,147.5,0.0,4.85
2026-04-25,cafe,66.2,5.21,1,1,0,60,0,66.69,5.23,100.0,31.48,3.68
2026-04-26,soja,44.9,6.25,1,1,1,21,0,43.31,6.31,1573.0,0.0,3.42
2026-04-27,cafe,51.3,5.69,1,1,1,20,1,57.22,5.75,783.5,0.0,4.31
2026-04-28,cafe,59.0,5.02,1,0,1,69,0,60.17,5.05,77.5,33.76,3.94
2026-04-29,milho,66.7,5.76,1,1,1,0,0,64.12,5.83,250.0,0.0,4.78
2026-04-30,soja,49.2,5.11,1,0,1,4,0,46.88,5.15,1164.0,32.68,2.8
2026-05-01,milho,52.8,5.81,1,1,1,11,1,58.39,5.89,648.5,0.0,5.13
2026-05-02,cafe,41.7,5.96,1,1,1,89,0,44.09,6.04,1739.0,0.0,4.1
2026-05-03,cafe,40.6,5.17,1,1,1,45,0,40.57,5.26,1800.0,3.96,3.53
2026-05-04,milho,64.8,5.89,1,1,0,33,0,64.11,5.94,167.5,28.0,4.7
2026-05-05,milho,71.3,5.67,1,0,1,48,0,71.41,5.73,130.0,28.0,4.39
2026-05-06,soja,54.1,5.83,1,0,1,77,0,55.78,5.89,467.0,28.0,3.85
2026-05-07,cafe,67.0,6.26,1,1,1,89,0,69.3,6.35,27.5,0.0,4.22
2026-05-08,cafe,59.3,5.4,0,1,1,44,0,59.08,5.46,140.0,29.2,4.01
2026-05-09,soja,47.3,5.2,0,0,1,26,0,46.03,5.22,1308.5,59.6,2.6
2026-05-10,cafe,59.3,5.14,0,0,1,72,0,60.5,5.16,70.0,60.32,3.64
2026-05-11,milho,73.5,5.17,0,1,1,25,0,72.04,5.23,187.5,31.96,4.03
2026-05-12,soja,54.6,5.47,1,0,1,46,0,54.22,5.53,492.0,28.36,3.53
2026-05-13,cafe,73.8,5.64,1,1,1,85,0,75.48,5.73,37.5,0.0,3.82
2026-05-14,cafe,30.0,5.61,1,1,1,55,0,29.95,5.7,1800.0,0.0,3.28
2026-05-15,cafe,64.9,5.83,0,0,0,62,0,65.14,5.81,95.0,84.0,3.34
2026-05-16,soja,56.0,5.51,1,0,1,47,0,55.33,5.56,342.5,28.0,3.6
2026-05-17,soja,51.4,6.08,1,1,1,60,0,51.36,6.16,793.0,0.0,4.05
2026-05-18,cafe,56.1,5.39,1,1,1,80,0,57.08,5.47,249.5,1.32,4.47
2026-05-19,soja,31.1,6.5,1,1,1,25,0,28.97,6.57,1800.0,0.0,2.7
2026-05-20,cafe,52.4,5.75,1,1,1,35,1,58.24,5.82,630.5,0.0,4.45
2026-05-21,cafe,59.3,5.16,1,1,1,0,1,63.15,5.22,130.0,4.08,3.8
2026-05-22,milho,72.7,5.07,1,1,0,7,0,69.37,5.09,232.5,33.16,3.99
2026-05-23,soja,48.8,5.69,0,1,1,51,0,47.84,5.71,1088.5,28.0,3.34
2026-05-24,cafe,45.3,5.41,1,1,1,78,0,45.77,5.46,1388.5,1.08,3.96
2026-05-25,soja,49.0,5.79,1,0,1,46,0,47.68,5.8,1080.0,28.0,3.34
2026-05-26,cafe,66.0,5.69,1,1,1,55,0,65.15,5.73,112.5,0.0,4.23
2026-05-27,cafe,58.9,5.47,1,1,1,85,0,59.68,5.5,37.5,0.36,4.45
2026-05-28,cafe,48.6,5.16,1,1,1,13,1,52.92,5.19,1084.5,4.08,3.87
2026-05-29,cafe,61.2,4.89,1,1,1,89,0,62.2,4.91,27.5,7.32,4.11
2026-05-30,soja,56.2,5.32,0,0,1,27,0,53.81,5.27,371.5,58.16,2.98
2026-05-31,cafe,66.6,5.84,1,1,1,86,0,67.48,5.85,35.0,0.0,4.23
2026-06-01,cafe,46.6,5.59,0,0,0,77,0,47.02,5.49,1254.5,84.0,3.07
2026-06-02,cafe,51.1,5.0,1,1,0,87,0,52.12,4.97,757.0,34.0,3.74
2026-06-03,soja,50.3,5.57,1,0,1,1,0,46.64,5.53,1056.0,28.0,2.92
2026-06-04,soja,37.4,5.65,1,0,1,25,0,35.13,5.61,1800.0,28.0,2.58
2026-06-05,soja,58.6,5.15,1,0,1,13,0,55.74,5.1,217.5,32.2,3.24
2026-06-06,cafe,58.1,5.56,1,1,1,58,0,57.79,5.55,105.0,0.0,4.49
2026-06-07,soja,55.1,5.52,1,1,0,55,0,54.71,5.47,417.0,28.0,3.58
2026-06-08,soja,52.2,5.04,1,1,0,6,0,49.2,4.99,844.0,33.52,2.86
