cultura,precipitacao_mm_dia,umidade_especifica_2m_g_kg,umidade_relativa_2m_pct,temperatura_2m_c,rendimento_t_ha,cluster,outlier,score_anomalia,pca_1,pca_2
"Cocoa, beans",2248.92,17.72,83.4,26.01,11560,2,False,0.07118155387136316,-2.2495723686355955,-0.5708095312582007
"Cocoa, beans",1938.42,17.54,82.11,26.11,11253,2,True,-0.010746646089261791,-3.921370680696902,0.17922499865981584
"Cocoa, beans",2301.54,17.81,82.79,26.24,9456,2,False,0.04883323175083498,-2.2084060948668838,0.4487831591460953
"Cocoa, beans",2592.35,17.61,85.07,25.56,9321,2,True,-0.016268752432105682,-1.0066286278529253,-2.983475915429647
"Cocoa, beans",2344.72,17.61,84.12,25.76,8800,2,False,0.060013106951563366,-1.9669285227539568,-1.83519441983574
"Cocoa, beans",2339.3,17.7,84.54,25.76,8850,2,False,0.07306535439509865,-1.569072218154771,-1.8534039812236776
"Cocoa, beans",2326.09,18.09,84.63,26.11,9003,2,False,0.12805660754611353,-0.642789875422092,-0.2317126451927959
"Cocoa, beans",2718.08,18.3,85.43,26.12,9880,1,False,0.14206230489922217,1.02789333741268,-0.4806403230778592
"Cocoa, beans",2061.61,17.8,84.36,25.88,9201,2,False,0.0691518549504726,-2.002616138028557,-1.062334886886584
"Cocoa, beans",1934.62,17.94,83.43,26.21,8300,2,False,0.051245182449357274,-2.374936951064214,0.5911947568668181
"Cocoa, beans",2217.12,18.03,84.39,26.1,5765,2,False,0.11735238031631595,-1.1238218321327347,-0.17979555578072193
"Cocoa, beans",2249.7,18.01,84.24,26.11,5812,2,False,0.12102761201303597,-1.1746117772820652,-0.14783909764718275
"Cocoa, beans",2530.96,18.15,85.33,26.02,6667,1,False,0.13415628960926568,0.25184988372827166,-0.8309435559396714
"Cocoa, beans",2504.7,18.19,85.45,26.02,6530,1,False,0.13686444775666862,0.34105818377729974,-0.7954392749599135
"Cocoa, beans",2686.2,18.38,85.77,26.13,6912,1,False,0.13501360172336635,1.311132349016574,-0.4337722084981524
"Cocoa, beans",2414.79,18.18,85.76,25.93,7138,1,False,0.09842264127356215,0.26912578118845903,-1.1305362220315243
"Cocoa, beans",1999.53,18.2,84.36,26.27,7525,0,False,0.08523785816442975,-1.1911079820637802,0.7655624165429676
"Cocoa, beans",2362.8,18.7,84.03,26.79,7663,0,False,0.02921913733322201,0.5660649910279686,2.941364507051906
"Cocoa, beans",2792.95,18.24,86.04,25.95,8300,1,False,0.0937046803642026,1.3368902221556138,-1.3711390025518735
"Cocoa, beans",2751.24,18.31,85.98,26.02,9274,1,False,0.12043502734017036,1.381414618006448,-0.9997195581116879
"Cocoa, beans",2646.28,18.4,86.02,26.1,9956,1,False,0.12105549996118875,1.3941374936628328,-0.5582482243258413
"Cocoa, beans",2302.99,18.22,84.48,26.25,9801,0,False,0.1406657271812286,-0.4644055918107852,0.4616809074463631
"Cocoa, beans",2692.34,18.37,85.54,26.18,7965,1,False,0.13898276624757916,1.1978629650424046,-0.2163773807228158
"Cocoa, beans",2424.55,18.28,85.16,26.18,7919,1,False,0.1338944655270548,0.25545814476567147,-0.00733245819002398
"Cocoa, beans",2363.63,18.35,84.92,26.28,8226,0,False,0.13354652358957042,0.17176191007650182,0.53719213363282
"Cocoa, beans",2892.78,18.49,86.09,26.18,10062,1,False,0.06905169066115602,2.153904549753226,-0.39354472553994685
"Cocoa, beans",2729.53,18.41,86.03,26.11,12362,1,False,0.1269890751096155,1.5963739901590448,-0.5796451659067395
"Cocoa, beans",3085.79,18.34,86.1,26.03,13056,1,False,0.042288563112373945,2.2059817935804475,-1.2221291050498835
"Cocoa, beans",2922.18,18.43,85.51,26.23,10058,1,False,0.08916569818885439,1.7950110465074895,-0.13652100981626866
"Cocoa, beans",2546.33,18.43,84.23,26.49,7795,0,False,0.0885703110574576,0.40891201012975587,1.4142248842187117
"Cocoa, beans",2938.29,18.22,85.42,26.06,10737,1,False,0.08823612215542254,1.3001219260464452,-0.9455063281743323
"Cocoa, beans",2771.73,18.38,84.98,26.3,7979,1,False,0.10820341853951743,1.119634742843359,0.3121429752208875
"Cocoa, beans",2607.96,18.37,84.67,26.35,7066,0,False,0.12630306130633523,0.607799134468388,0.6884862288993534
"Cocoa, beans",2604.59,18.19,83.44,26.43,7991,0,False,0.06394185576096456,-0.40154732157206247,1.1240266359042155
"Cocoa, beans",2308.51,18.27,83.65,26.47,11108,0,False,0.09040370073680426,-0.7267581242508836,1.5096979086711941
"Cocoa, beans",2410.13,18.58,83.45,26.81,11487,0,False,0.03461220588313774,0.11711683043430163,3.0027205809638997
