indice_original,grupo_climatico,particao
0,0,treino
1,1,treino
2,2,treino
3,3,teste
4,4,treino
5,5,treino
6,6,treino
7,7,treino
8,8,teste
9,9,treino
10,10,treino
11,11,treino
12,12,treino
13,13,treino
14,14,treino
15,15,treino
16,16,treino
17,17,treino
18,18,treino
19,19,treino
20,20,treino
21,21,teste
22,22,teste
23,23,treino
24,24,treino
25,25,treino
26,26,teste
27,27,treino
28,28,treino
29,29,teste
30,30,teste
31,31,teste
32,32,treino
33,33,treino
34,34,teste
35,35,treino
36,36,treino
37,37,treino
38,38,treino
39,0,treino
40,1,treino
41,2,treino
42,3,teste
43,4,treino
44,5,treino
45,6,treino
46,7,treino
47,8,teste
48,9,treino
49,10,treino
50,11,treino
51,12,treino
52,13,treino
53,14,treino
54,15,treino
55,16,treino
56,17,treino
57,18,treino
58,19,treino
59,20,treino
60,21,teste
61,22,teste
62,23,treino
63,24,treino
64,25,treino
65,26,teste
66,27,treino
67,28,treino
68,29,teste
69,30,teste
70,31,teste
71,32,treino
72,33,treino
73,34,teste
74,35,treino
75,36,treino
76,37,treino
77,38,treino
78,0,treino
79,1,treino
80,2,treino
81,3,teste
82,4,treino
83,5,treino
84,6,treino
85,7,treino
86,8,teste
87,9,treino
88,10,treino
89,11,treino
90,12,treino
91,13,treino
92,14,treino
93,15,treino
94,16,treino
95,17,treino
96,18,treino
97,19,treino
98,20,treino
99,21,teste
100,22,teste
101,23,treino
102,24,treino
103,25,treino
104,26,teste
105,27,treino
106,28,treino
107,29,teste
108,30,teste
109,31,teste
110,32,treino
111,33,treino
112,34,teste
113,35,treino
114,36,treino
115,37,treino
116,38,treino
117,0,treino
118,1,treino
119,2,treino
120,3,teste
121,4,treino
122,5,treino
123,6,treino
124,7,treino
125,8,teste
126,9,treino
127,10,treino
128,11,treino
129,12,treino
130,13,treino
131,14,treino
132,15,treino
133,16,treino
134,17,treino
135,18,treino
136,19,treino
137,20,treino
138,21,teste
139,22,teste
140,23,treino
141,24,treino
142,25,treino
143,26,teste
144,27,treino
145,28,treino
146,29,teste
147,30,teste
148,31,teste
149,32,treino
150,33,treino
151,34,teste
152,35,treino
153,36,treino
154,37,treino
155,38,treino
