modelo,cultura,registros_teste,MAE,MSE,RMSE,R2
Regressão Linear,"Cocoa, beans",9,2311.9197817589866,7503046.183861924,2739.168885604158,-2.3713299327631767
Regressão Linear,Oil palm fruit,9,10689.054136806888,155492259.8692178,12469.653558508264,-0.39568951006781905
Regressão Linear,"Rice, paddy",9,3489.824640053485,15615128.960951231,3951.5982792980403,0.3434115532449695
Regressão Linear,"Rubber, natural",9,1762.609967354989,4869170.12554061,2206.6196150538976,-2.444134842733908
Ridge,"Cocoa, beans",9,2349.9903238998686,8244972.221862141,2871.405966049061,-2.704698193935078
Ridge,Oil palm fruit,9,12660.063794428512,223845160.4505323,14961.45582657424,-1.0092211829902404
Ridge,"Rice, paddy",9,2948.6222588937844,12607832.6074767,3550.750992040515,0.4698630251859113
Ridge,"Rubber, natural",9,2308.9770386237337,6131064.122249531,2476.098568766908,-3.3367167344827404
Random Forest,"Cocoa, beans",9,1284.2333357268844,2912765.3069767673,1706.682544287826,-0.3087874745654917
Random Forest,Oil palm fruit,9,9541.868202317955,149676947.87010038,12234.25305730188,-0.3434916067010132
Random Forest,"Rice, paddy",9,3372.732204471011,20049481.948710773,4477.664787443425,0.1569548836985657
Random Forest,"Rubber, natural",9,1073.720545351473,1768264.3791883907,1329.761023337799,-0.25075542700447495
Gradient Boosting,"Cocoa, beans",9,1421.9863498480454,3529008.896544183,1878.5656487182403,-0.5856830724961852
Gradient Boosting,Oil palm fruit,9,10347.58160093068,160052062.56308284,12651.168426792952,-0.4366180346976567
Gradient Boosting,"Rice, paddy",9,2920.4467800961806,14096522.681500157,3754.533617042223,0.4072662508751118
Gradient Boosting,"Rubber, natural",9,1109.2171139809245,1991246.5805625543,1411.1153675594899,-0.4084785603642893
Extra Trees,"Cocoa, beans",9,1368.4596039304613,2862277.817833426,1691.8267694517149,-0.28610202398875106
Extra Trees,Oil palm fruit,9,10118.936482295469,138721636.08865172,11778.014946868241,-0.24515736327467996
Extra Trees,"Rice, paddy",9,2843.7380399151125,13403913.365465432,3661.1355295134094,0.4363892428248114
Extra Trees,"Rubber, natural",9,1122.4416324354668,2168175.8211769355,1472.4726894502783,-0.5336268190176638
Média por cultura (treino),"Cocoa, beans",9,1419.3000000000002,3059134.2025925945,1749.0380792288643,-0.374555141046939
Média por cultura (treino),Oil palm fruit,9,10568.074074074066,164320641.78962943,12818.761320409607,-0.4749325543682521
Média por cultura (treino),"Rice, paddy",9,4886.981481481481,29005930.46925926,5385.71540923388,-0.21964787361802096
Média por cultura (treino),"Rubber, natural",9,1342.3000000000002,2173385.565555556,1474.2406742304854,-0.5373118539771178
