precipitacao_mm_dia,umidade_especifica_2m_g_kg,umidade_relativa_2m_pct,temperatura_2m_c,cultura,indice_original,grupo_climatico,modelo,rendimento_real,rendimento_previsto,erro_absoluto
2592.35,17.61,85.07,25.56,"Cocoa, beans",3,3,Regressão Linear,9321,7824.466106546133,1496.5338934538668
2061.61,17.8,84.36,25.88,"Cocoa, beans",8,8,Regressão Linear,9201,5329.754373386015,3871.245626613985
2302.99,18.22,84.48,26.25,"Cocoa, beans",21,21,Regressão Linear,9801,7955.477606604662,1845.5223933953384
2692.34,18.37,85.54,26.18,"Cocoa, beans",22,22,Regressão Linear,7965,8470.127711067624,505.12771106762375
2729.53,18.41,86.03,26.11,"Cocoa, beans",26,26,Regressão Linear,12362,8182.083222261048,4179.916777738952
2546.33,18.43,84.23,26.49,"Cocoa, beans",29,29,Regressão Linear,7795,12030.358942051389,4235.358942051389
2938.29,18.22,85.42,26.06,"Cocoa, beans",30,30,Regressão Linear,10737,11236.050324309239,499.05032430923893
2771.73,18.38,84.98,26.3,"Cocoa, beans",31,31,Regressão Linear,7979,11131.11164017881,3152.1116401788095
2308.51,18.27,83.65,26.47,"Cocoa, beans",34,34,Regressão Linear,11108,10085.589272978323,1022.4107270216773
2592.35,17.61,85.07,25.56,Oil palm fruit,42,3,Regressão Linear,181826,173278.0994398795,8547.900560120499
2061.61,17.8,84.36,25.88,Oil palm fruit,47,8,Regressão Linear,183004,170783.3877067194,12220.612293280603
2302.99,18.22,84.48,26.25,Oil palm fruit,60,21,Regressão Linear,162240,173409.11093993805,11169.110939938051
2692.34,18.37,85.54,26.18,Oil palm fruit,61,22,Regressão Linear,175629,173923.76104440098,1705.238955599023
2729.53,18.41,86.03,26.11,Oil palm fruit,65,26,Regressão Linear,183544,173635.7165555944,9908.283444405592
2546.33,18.43,84.23,26.49,Oil palm fruit,68,29,Regressão Linear,171189,177483.99227538475,6294.9922753847495
2938.29,18.22,85.42,26.06,Oil palm fruit,69,30,Regressão Linear,185831,176689.68365764263,9141.316342357371
2771.73,18.38,84.98,26.3,Oil palm fruit,70,31,Regressão Linear,186959,176584.7449735122,10374.255026487808
2308.51,18.27,83.65,26.47,Oil palm fruit,73,34,Regressão Linear,202379,175539.2226063117,26839.777393688302
2592.35,17.61,85.07,25.56,"Rice, paddy",81,3,Regressão Linear,25187,30724.266106546078,5537.266106546078
2061.61,17.8,84.36,25.88,"Rice, paddy",86,8,Regressão Linear,26251,28229.55437338596,1978.5543733859595
2302.99,18.22,84.48,26.25,"Rice, paddy",99,21,Regressão Linear,32385,30855.277606604603,1529.7223933953974
2692.34,18.37,85.54,26.18,"Rice, paddy",100,22,Regressão Linear,33596,31369.92771106757,2226.0722889324315
2729.53,18.41,86.03,26.11,"Rice, paddy",104,26,Regressão Linear,35277,31081.883222260985,4195.116777739015
2546.33,18.43,84.23,26.49,"Rice, paddy",107,29,Regressão Linear,36361,34930.15894205133,1430.8410579486736
2938.29,18.22,85.42,26.06,"Rice, paddy",108,30,Regressão Linear,37468,34135.85032430918,3332.1496756908164
2771.73,18.38,84.98,26.3,"Rice, paddy",109,31,Regressão Linear,37972,34030.91164017875,3941.088359821253
2308.51,18.27,83.65,26.47,"Rice, paddy",112,34,Regressão Linear,40223,32985.38927297826,7237.61072702174
2592.35,17.61,85.07,25.56,"Rubber, natural",120,3,Regressão Linear,9718,6775.799439879418,2942.200560120582
