cluster,cultura,registros,rendimento_medio,precipitacao_media,temperatura_media
0,"Cocoa, beans",11,8819.272727272728,2359.0245454545457,26.480909090909094
0,Oil palm fruit,11,178607.54545454544,2359.0245454545457,26.480909090909094
0,"Rice, paddy",11,35576.545454545456,2359.0245454545457,26.480909090909094
0,"Rubber, natural",11,6808.636363636364,2359.0245454545457,26.480909090909094
1,"Cocoa, beans",17,8947.588235294117,2733.5176470588235,26.118823529411763
1,Oil palm fruit,17,177074.17647058822,2733.5176470588235,26.118823529411763
1,"Rice, paddy",17,33147.94117647059,2733.5176470588235,26.118823529411763
1,"Rubber, natural",17,7776.470588235294,2733.5176470588235,26.118823529411763
2,"Cocoa, beans",11,8847.363636363636,2232.2172727272728,25.986363636363638
2,Oil palm fruit,11,171039.9090909091,2232.2172727272728,25.986363636363638
2,"Rice, paddy",11,27002.727272727272,2232.2172727272728,25.986363636363638
2,"Rubber, natural",11,8916.0,2232.2172727272728,25.986363636363638
